scope,municipality_id,municipio_nombre,disease_key,disease_name,confirmation_status,case_count,started_at,ended_at,status,source_datasets,latest_update
MUNICIPALITY,42000000-0000-0000-0000-000000002078,Totolac,INFLUENZA,Influenza,SUSPECTED,23,2026-06-08 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000935,Totolapan,COVID-19,COVID-19,SUSPECTED,1,2026-07-17 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000935,Totolapan,INFLUENZA,Influenza,SUSPECTED,1,2026-07-17 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002477,Trancoso,COVID-19,COVID-19,SUSPECTED,3,2026-06-09 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002477,Trancoso,INFLUENZA,Influenza,SUSPECTED,3,2026-06-09 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002309,Tres Valles,COVID-19,COVID-19,SUSPECTED,1,2026-07-24 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002309,Tres Valles,INFLUENZA,Influenza,SUSPECTED,1,2026-07-24 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002431,Trinidad Garcia de la Cadena,COVID-19,COVID-19,SUSPECTED,1,2026-08-05 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000002431,Trinidad Garcia de la Cadena,INFLUENZA,Influenza,SUSPECTED,1,2026-08-05 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000537,Tula de Allende,COVID-19,COVID-19,CONFIRMED,9,2026-06-09 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000537,Tula de Allende,COVID-19,COVID-19,SUSPECTED,7,2026-06-19 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000537,Tula de Allende,INFLUENZA,Influenza,SUSPECTED,7,2026-06-19 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000537,Tula de Allende,MEASLES,Measles,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000537,Tula de Allende,RUBELLA,Rubella,SUSPECTED,1,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000538,Tulancingo de Bravo,COVID-19,COVID-19,CONFIRMED,8,2026-06-04 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000538,Tulancingo de Bravo,COVID-19,COVID-19,SUSPECTED,38,2026-06-03 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000538,Tulancingo de Bravo,INFLUENZA,Influenza,CONFIRMED,2,2026-07-25 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000538,Tulancingo de Bravo,INFLUENZA,Influenza,SUSPECTED,38,2026-06-03 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000538,Tulancingo de Bravo,MEASLES,Measles,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000538,Tulancingo de Bravo,RUBELLA,Rubella,SUSPECTED,2,2026-08-18 00:00:00,,ACTIVE,EFES_ABIERTO,2026-08-18
MUNICIPALITY,42000000-0000-0000-0000-000000000778,Tultepec,COVID-19,COVID-19,CONFIRMED,4,2026-06-15 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
MUNICIPALITY,42000000-0000-0000-0000-000000000778,Tultepec,COVID-19,COVID-19,SUSPECTED,8,2026-06-29 00:00:00,,ACTIVE,COVID19MEXICO,2026-08-24
